,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,35.69,84,30,7.07,scattered clouds
1,Atuona,PF,-9.8,-139.0333,78.17,69,33,19.06,scattered clouds
2,Batemans Bay,AU,-35.7167,150.1833,52.11,60,86,7.83,light rain
3,Albany,US,42.6001,-73.9662,78.64,53,88,3.09,overcast clouds
4,Saint Anthony,US,45.0205,-93.218,75.25,59,0,9.22,clear sky
5,Coihaique,CL,-45.5752,-72.0662,41.61,93,40,3.44,scattered clouds
6,Avarua,CK,-21.2078,-159.775,82.45,69,20,14.97,few clouds
7,Lebu,CL,-37.6167,-73.65,50.61,87,85,7.23,overcast clouds
8,Saint George,US,37.1041,-113.5841,97.43,7,0,4.0,clear sky
9,Dieppe,FR,49.75,1.1667,55.98,86,61,2.46,broken clouds
10,Bredasdorp,ZA,-34.5322,20.0403,45.59,80,7,3.83,clear sky
11,Narsaq,GL,60.9167,-46.05,53.82,68,9,3.38,clear sky
12,Dunedin,NZ,-45.8742,170.5036,51.91,68,41,17.74,scattered clouds
13,Bethel,US,41.3712,-73.414,75.29,71,0,6.91,clear sky
14,Grindavik,IS,63.8424,-22.4338,48.15,81,75,12.66,broken clouds
15,Krasnoselkup,RU,65.7,82.4667,61.07,87,100,3.49,light rain
16,Georgetown,MY,5.4112,100.3354,76.95,95,40,4.61,scattered clouds
17,Shaunavon,CA,49.6501,-108.4181,53.38,92,100,30.56,overcast clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,55.36,88,0,0.0,clear sky
19,Chumikan,RU,54.7183,135.315,40.8,90,100,2.59,overcast clouds
20,Ahuimanu,US,21.4447,-157.8378,85.78,67,40,17.27,scattered clouds
21,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,20.71,broken clouds
22,Ilulissat,GL,69.2167,-51.1,39.22,60,6,9.22,clear sky
23,Jamestown,US,42.097,-79.2353,81.99,90,100,6.62,overcast clouds
24,Margate,GB,51.3813,1.3862,61.3,81,50,3.27,scattered clouds
25,Meadow Lake,US,34.8014,-106.5436,96.62,7,0,9.62,clear sky
26,Zhigansk,RU,66.7697,123.3711,52.3,61,3,17.49,clear sky
27,Yellowknife,CA,62.456,-114.3525,63.12,63,75,3.44,light intensity shower rain
28,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.9,69,70,2.95,broken clouds
29,Goundam,ML,16.4145,-3.6708,96.44,22,22,9.4,few clouds
30,Chara,RU,56.9064,118.2631,64.65,47,100,0.54,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,46.47,93,97,7.58,light rain
32,Ushuaia,AR,-54.8,-68.3,39.99,76,100,11.48,overcast clouds
33,Pacific Grove,US,36.6177,-121.9166,82.02,68,0,10.36,clear sky
34,Tiksi,RU,71.6872,128.8694,37.45,73,42,13.42,scattered clouds
35,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,6.91,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,43.81,72,5,9.15,clear sky
37,Chuy,UY,-33.6971,-53.4616,53.69,77,95,5.55,overcast clouds
38,Palu,ID,-0.8917,119.8707,80.1,81,100,3.13,overcast clouds
39,Sorland,NO,67.667,12.6934,44.46,83,18,3.67,few clouds
40,Constitucion,CL,-35.3333,-72.4167,51.06,89,23,7.34,few clouds
41,Pisco,PE,-13.7,-76.2167,62.65,77,0,16.11,smoke
42,Lar,IN,26.2039,83.9717,90.03,51,85,7.27,overcast clouds
43,Naryan-Mar,RU,67.6713,53.087,44.91,78,61,9.28,broken clouds
44,Bluff,NZ,-46.6,168.3333,46.8,82,53,21.16,broken clouds
45,Carnarvon,AU,-24.8667,113.6333,70.74,88,100,1.41,overcast clouds
46,Butaritari,KI,3.0707,172.7902,81.9,69,62,12.12,broken clouds
47,Guaruja,BR,-23.9931,-46.2564,65.89,26,96,2.93,overcast clouds
48,Kapaa,US,22.0752,-159.319,84.18,75,20,17.27,few clouds
49,Ilorin,NG,8.5,4.55,72.61,94,88,6.26,overcast clouds
50,Bethanien,NA,-26.502,17.1583,44.56,44,4,10.45,clear sky
51,Mehamn,NO,71.0357,27.8492,40.91,88,100,13.96,overcast clouds
52,Derzhavinsk,KZ,51.1,66.3167,63.01,50,68,6.06,broken clouds
53,Rikitea,PF,-23.1203,-134.9692,72.75,69,63,6.64,broken clouds
54,Vaini,TO,-21.2,-175.2,80.76,74,75,6.91,broken clouds
55,Brownsville,US,25.9018,-97.4975,92.08,62,40,18.41,dust
56,Khatanga,RU,71.9667,102.5,61.88,41,95,10.2,overcast clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,38,8.01,scattered clouds
58,Podgorenskiy,RU,50.405,39.6429,55.26,91,100,3.94,overcast clouds
59,Jawhar,SO,2.7809,45.5005,74.8,90,99,13.11,overcast clouds
60,Samarai,PG,-10.6167,150.6667,82.42,79,69,10.56,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,57.38,77,0,4.0,clear sky
62,Husavik,IS,66.0449,-17.3389,47.8,93,95,7.31,overcast clouds
63,Kruisfontein,ZA,-34.0033,24.7314,46.89,80,63,9.15,broken clouds
64,Tessalit,ML,20.1986,1.0114,89.04,27,100,11.9,overcast clouds
65,San Patricio,US,28.017,-97.5169,92.12,59,81,19.33,broken clouds
66,Fare,PF,-16.7,-151.0167,80.4,71,3,16.06,clear sky
67,Kahului,US,20.8947,-156.47,85.96,72,40,21.85,scattered clouds
68,Busselton,AU,-33.65,115.3333,61.79,83,6,9.17,clear sky
69,Yulara,AU,-25.2406,130.9889,59.83,47,6,7.7,clear sky
70,Batagay-Alyta,RU,67.8006,130.4114,44.98,89,100,8.23,moderate rain
71,Ponta Do Sol,PT,32.6667,-17.1,68.63,77,39,9.91,scattered clouds
72,Moose Factory,CA,51.2585,-80.6094,77.0,64,100,9.22,overcast clouds
73,Melilla,ES,35.2937,-2.9383,82.78,51,0,8.05,clear sky
74,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
75,Bengkulu,ID,-3.8004,102.2655,74.95,88,100,3.27,overcast clouds
76,Torbay,CA,47.6666,-52.7314,45.88,74,40,5.75,scattered clouds
77,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,65,20,14.97,few clouds
78,Saskylakh,RU,71.9167,114.0833,48.45,41,30,5.79,scattered clouds
79,Nanortalik,GL,60.1432,-45.2371,39.42,79,26,8.84,scattered clouds
80,Port Macquarie,AU,-31.4333,152.9167,59.9,57,0,3.11,clear sky
81,Korla,CN,41.7597,86.1469,82.6,20,76,13.35,broken clouds
82,Buala,SB,-8.145,159.5921,82.62,76,97,9.19,light rain
